route_id,service_id,trip_headsign,direction_id,shape_id,trip_id,wheelchair_accessible
GREEN,weekday,Silk Institute,0,s914,t1361,1
GREEN,weekday,Silk Institute,0,s914,t1363,1
GREEN,weekday,Silk Institute,0,s914,t1365,1
GREEN,weekday,Silk Institute,0,s914,t1367,1
GREEN,weekday,Silk Institute,0,s914,t1372,1
GREEN,weekday,Silk Institute,0,s914,t1374,1
GREEN,weekday,Silk Institute,0,s914,t1377,1
GREEN,weekday,Silk Institute,0,s914,t1379,1
GREEN,weekday,Silk Institute,0,s914,t1381,1
GREEN,weekday,Silk Institute,0,s914,t1383,1
GREEN,weekday,Silk Institute,0,s914,t1385,1
GREEN,weekday,Silk Institute,0,s914,t1389,1
GREEN,weekday,Silk Institute,0,s914,t1391,1
GREEN,weekday,Silk Institute,0,s914,t1397,1
GREEN,weekday,Silk Institute,0,s914,t1399,1
GREEN,weekday,Silk Institute,0,s914,t1401,1
GREEN,weekday,Silk Institute,0,s914,t1403,1
GREEN,weekday,Silk Institute,0,s914,t1407,1
GREEN,weekday,Silk Institute,0,s914,t1409,1
GREEN,weekday,Silk Institute,0,s914,t1411,1
GREEN,weekday,Silk Institute,0,s914,t1413,1
GREEN,weekday,Silk Institute,0,s914,t1417,1
GREEN,weekday,Silk Institute,0,s914,t1419,1
GREEN,weekday,Silk Institute,0,s914,t1421,1
GREEN,weekday,Silk Institute,0,s914,t1423,1
GREEN,weekday,Silk Institute,0,s914,t1425,1
GREEN,weekday,Silk Institute,0,s914,t1429,1
GREEN,weekday,Silk Institute,0,s914,t1431,1
GREEN,weekday,Silk Institute,0,s914,t1433,1
GREEN,weekday,Silk Institute,0,s914,t1436,1
GREEN,weekday,Silk Institute,0,s914,t1438,1
GREEN,weekday,Silk Institute,0,s914,t1440,1
GREEN,weekday,Silk Institute,0,s914,t1442,1
GREEN,weekday,Silk Institute,0,s914,t1444,1
GREEN,weekday,Silk Institute,0,s914,t1446,1
GREEN,weekday,Silk Institute,0,s914,t1448,1
GREEN,weekday,Silk Institute,0,s914,t1450,1
GREEN,weekday,Silk Institute,0,s914,t1452,1
GREEN,weekday,Silk Institute,0,s914,t1454,1
GREEN,weekday,Silk Institute,0,s914,t1456,1
GREEN,weekday,Silk Institute,0,s914,t1458,1
GREEN,weekday,Silk Institute,0,s914,t1460,1
GREEN,weekday,Silk Institute,0,s914,t1462,1
GREEN,weekday,Silk Institute,0,s914,t1464,1
GREEN,weekday,Silk Institute,0,s914,t1466,1
GREEN,weekday,Silk Institute,0,s914,t1470,1
GREEN,weekday,Silk Institute,0,s914,t1472,1
GREEN,weekday,Silk Institute,0,s914,t1474,1
GREEN,weekday,Silk Institute,0,s914,t1476,1
GREEN,weekday,Silk Institute,0,s914,t1478,1
GREEN,weekday,Silk Institute,0,s914,t1480,1
GREEN,weekday,Silk Institute,0,s914,t1482,1
GREEN,weekday,Silk Institute,0,s914,t1484,1
GREEN,weekday,Silk Institute,0,s914,t1486,1
GREEN,weekday,Silk Institute,0,s914,t1488,1
GREEN,weekday,Silk Institute,0,s914,t1490,1
GREEN,weekday,Silk Institute,0,s914,t1492,1
GREEN,weekday,Silk Institute,0,s914,t1494,1
GREEN,weekday,Silk Institute,0,s914,t1498,1
GREEN,weekday,Silk Institute,0,s914,t1506,1
GREEN,weekday,Silk Institute,0,s914,t1508,1
GREEN,weekday,Silk Institute,0,s914,t1510,1
GREEN,weekday,Silk Institute,0,s914,t1524,1
GREEN,weekday,Silk Institute,0,s914,t1526,1
GREEN,weekday,Silk Institute,0,s914,t1528,1
GREEN,weekday,Silk Institute,0,s914,t1530,1
GREEN,weekday,Silk Institute,0,s914,t1534,1
GREEN,weekday,Silk Institute,0,s914,t1540,1
GREEN,weekday,Silk Institute,0,s914,t1542,1
GREEN,weekday,Silk Institute,0,s914,t1544,1
GREEN,weekday,Silk Institute,0,s914,t1546,1
GREEN,weekday,Silk Institute,0,s914,t1550,1
GREEN,weekday,Silk Institute,0,s914,t1552,1
GREEN,weekday,Silk Institute,0,s914,t1557,1
GREEN,weekday,Silk Institute,0,s914,t1559,1
GREEN,weekday,Silk Institute,0,s914,t1561,1
GREEN,weekday,Silk Institute,0,s914,t1563,1
GREEN,weekday,Silk Institute,0,s914,t1565,1
GREEN,weekday,Silk Institute,0,s914,t1567,1
GREEN,weekday,Silk Institute,0,s914,t1573,1
GREEN,weekday,Silk Institute,0,s914,t1575,1
GREEN,weekday,Silk Institute,0,s914,t1577,1
GREEN,weekday,Silk Institute,0,s914,t1579,1
GREEN,weekday,Silk Institute,0,s914,t1581,1
GREEN,weekday,Silk Institute,0,s914,t1583,1
GREEN,weekday,Silk Institute,0,s914,t1597,1
GREEN,weekday,Silk Institute,0,s914,t1599,1
GREEN,weekday,Silk Institute,0,s914,t1601,1
GREEN,weekday,Silk Institute,0,s914,t1605,1
GREEN,weekday,Silk Institute,0,s914,t1607,1
GREEN,weekday,Silk Institute,0,s914,t1609,1
GREEN,weekday,Silk Institute,0,s914,t1615,1
GREEN,weekday,Silk Institute,0,s914,t1617,1
GREEN,weekday,Silk Institute,0,s914,t1619,1
GREEN,weekday,Silk Institute,0,s914,t1622,1
GREEN,weekday,Silk Institute,0,s914,t1629,1
GREEN,weekday,Silk Institute,0,s914,t1631,1
GREEN,weekday,Silk Institute,0,s914,t1633,1
GREEN,weekday,Silk Institute,0,s914,t1637,1
GREEN,weekday,Yelachenahalli,0,s1555,t1332,1
GREEN,weekday,Yelachenahalli,0,s1555,t1349,1
GREEN,weekday,Yelachenahalli,0,s1555,t1369,1
GREEN,weekday,Yelachenahalli,0,s1555,t1387,1
GREEN,weekday,Yelachenahalli,0,s1555,t1395,1
GREEN,weekday,Yelachenahalli,0,s1555,t1405,1
GREEN,weekday,Yelachenahalli,0,s1555,t1427,1
GREEN,weekday,Yelachenahalli,0,s1555,t1468,1
GREEN,weekday,Yelachenahalli,0,s1555,t1496,1
GREEN,weekday,Yelachenahalli,0,s1555,t1502,1
GREEN,weekday,Yelachenahalli,0,s1555,t1504,1
GREEN,weekday,Yelachenahalli,0,s1555,t1512,1
GREEN,weekday,Yelachenahalli,0,s1555,t1516,1
GREEN,weekday,Yelachenahalli,0,s1555,t1518,1
GREEN,weekday,Yelachenahalli,0,s1555,t1522,1
GREEN,weekday,Yelachenahalli,0,s1555,t1532,1
GREEN,weekday,Yelachenahalli,0,s1555,t1538,1
GREEN,weekday,Yelachenahalli,0,s1555,t1548,1
GREEN,weekday,Yelachenahalli,0,s1555,t1555,1
GREEN,weekday,Yelachenahalli,0,s1555,t1571,1
GREEN,weekday,Yelachenahalli,0,s1555,t1587,1
GREEN,weekday,Yelachenahalli,0,s1555,t1591,1
GREEN,weekday,Yelachenahalli,0,s1555,t1595,1
GREEN,weekday,Yelachenahalli,0,s1555,t1603,1
GREEN,weekday,Yelachenahalli,0,s1555,t1611,1
GREEN,weekday,Yelachenahalli,0,s1555,t1627,1
GREEN,weekday,Yelachenahalli,0,s1613,t1393,1
GREEN,weekday,Yelachenahalli,0,s1613,t1500,1
GREEN,weekday,Yelachenahalli,0,s1613,t1514,1
GREEN,weekday,Yelachenahalli,0,s1613,t1520,1
GREEN,weekday,Yelachenahalli,0,s1613,t1536,1
GREEN,weekday,Yelachenahalli,0,s1613,t1553,1
GREEN,weekday,Yelachenahalli,0,s1613,t1569,1
GREEN,weekday,Yelachenahalli,0,s1613,t1585,1
GREEN,weekday,Yelachenahalli,0,s1613,t1589,1
GREEN,weekday,Yelachenahalli,0,s1613,t1593,1
GREEN,weekday,Yelachenahalli,0,s1613,t1613,1
GREEN,weekday,Yelachenahalli,0,s1613,t1620,1
GREEN,weekday,Yelachenahalli,0,s1613,t1635,1
GREEN,weekday,Yeshwantpur,1,s1624,t1624,1
PURPLE,holiday,Challaghatta,0,s626,t572,1
PURPLE,holiday,Challaghatta,0,s626,t574,1
PURPLE,holiday,Challaghatta,0,s626,t576,1
PURPLE,holiday,Challaghatta,0,s626,t578,1
PURPLE,holiday,Challaghatta,0,s626,t580,1
PURPLE,holiday,Challaghatta,0,s626,t582,1
PURPLE,holiday,Challaghatta,0,s626,t584,1
PURPLE,holiday,Challaghatta,0,s626,t586,1
PURPLE,holiday,Challaghatta,0,s626,t588,1
PURPLE,holiday,Challaghatta,0,s626,t590,1
PURPLE,holiday,Challaghatta,0,s626,t592,1
PURPLE,holiday,Challaghatta,0,s626,t594,1
PURPLE,holiday,Challaghatta,0,s626,t596,1
PURPLE,holiday,Challaghatta,0,s626,t598,1
PURPLE,holiday,Challaghatta,0,s626,t600,1
PURPLE,holiday,Challaghatta,0,s626,t602,1
PURPLE,holiday,Challaghatta,0,s626,t604,1
PURPLE,holiday,Challaghatta,0,s626,t606,1
PURPLE,holiday,Challaghatta,0,s626,t608,1
PURPLE,holiday,Challaghatta,0,s626,t609,1
PURPLE,holiday,Challaghatta,0,s626,t611,1
PURPLE,holiday,Challaghatta,0,s626,t613,1
PURPLE,holiday,Challaghatta,0,s626,t615,1
PURPLE,holiday,Challaghatta,0,s626,t617,1
PURPLE,holiday,Challaghatta,0,s626,t619,1
PURPLE,holiday,Challaghatta,0,s626,t622,1
PURPLE,holiday,Challaghatta,0,s626,t624,1
PURPLE,holiday,Challaghatta,0,s626,t626,1
PURPLE,holiday,Challaghatta,0,s626,t628,1
PURPLE,holiday,Challaghatta,0,s626,t630,1
PURPLE,holiday,Challaghatta,0,s626,t632,1
PURPLE,holiday,Challaghatta,0,s626,t634,1
PURPLE,holiday,Challaghatta,0,s626,t636,1
PURPLE,holiday,Challaghatta,0,s626,t638,1
PURPLE,holiday,Challaghatta,0,s626,t640,1
PURPLE,holiday,Challaghatta,0,s626,t642,1
PURPLE,holiday,Challaghatta,0,s626,t644,1
PURPLE,holiday,Challaghatta,0,s626,t647,1
PURPLE,holiday,Challaghatta,0,s626,t649,1
PURPLE,holiday,Challaghatta,0,s626,t651,1
PURPLE,holiday,Challaghatta,0,s626,t653,1
PURPLE,holiday,Challaghatta,0,s626,t655,1
PURPLE,holiday,Challaghatta,0,s626,t657,1
PURPLE,holiday,Challaghatta,0,s626,t659,1
PURPLE,holiday,Challaghatta,0,s626,t661,1
PURPLE,holiday,Challaghatta,0,s626,t663,1
PURPLE,holiday,Challaghatta,0,s626,t665,1
PURPLE,holiday,Challaghatta,0,s626,t667,1
PURPLE,holiday,Challaghatta,0,s626,t669,1
PURPLE,holiday,Challaghatta,0,s626,t673,1
PURPLE,holiday,Challaghatta,0,s626,t675,1
PURPLE,holiday,Challaghatta,0,s626,t677,1
PURPLE,holiday,Challaghatta,0,s626,t679,1
PURPLE,holiday,Challaghatta,0,s626,t681,1
PURPLE,holiday,Challaghatta,0,s626,t683,1
PURPLE,holiday,Challaghatta,0,s626,t686,1
PURPLE,holiday,Challaghatta,0,s626,t688,1
PURPLE,holiday,Challaghatta,0,s626,t690,1
PURPLE,holiday,Challaghatta,0,s626,t692,1
PURPLE,holiday,Challaghatta,0,s626,t694,1
PURPLE,holiday,Challaghatta,0,s626,t696,1
PURPLE,holiday,Challaghatta,0,s626,t699,1
PURPLE,holiday,Challaghatta,0,s626,t701,1
PURPLE,holiday,Challaghatta,0,s626,t703,1
PURPLE,holiday,Challaghatta,0,s626,t705,1
PURPLE,holiday,Challaghatta,0,s626,t707,1
PURPLE,holiday,Challaghatta,0,s626,t710,1
PURPLE,holiday,Challaghatta,0,s626,t712,1
PURPLE,holiday,Challaghatta,0,s626,t714,1
PURPLE,holiday,Challaghatta,0,s626,t716,1
PURPLE,holiday,Challaghatta,0,s626,t718,1
PURPLE,holiday,Challaghatta,0,s626,t720,1
PURPLE,holiday,Challaghatta,0,s626,t722,1
PURPLE,holiday,Challaghatta,0,s626,t724,1
PURPLE,holiday,Challaghatta,0,s626,t726,1
PURPLE,holiday,Challaghatta,0,s626,t728,1
PURPLE,holiday,Challaghatta,0,s626,t730,1
PURPLE,holiday,Challaghatta,0,s626,t732,1
PURPLE,holiday,Challaghatta,0,s626,t733,1
PURPLE,holiday,Challaghatta,0,s626,t735,1
PURPLE,holiday,Challaghatta,0,s626,t737,1
PURPLE,holiday,Challaghatta,0,s626,t739,1
PURPLE,holiday,Challaghatta,0,s626,t741,1
PURPLE,holiday,Challaghatta,0,s626,t743,1
PURPLE,holiday,Challaghatta,0,s626,t745,1
