route_long_name,route_short_name,agency_id,route_desc,route_type,route_id
Adishwara Bombay Dying → Kempegowda Bus Station (ABD-KBS),90-E,BMTC,Via Malleshwara 8th Cross (8th Main KBS),3,13826
Ado Sonnahatti → KR Market (Kalasipalya) (ASH-KMT),356-F,BMTC,"Via Chandapura, Electronic City, Lalbagh Main Gate",3,9962
Aerospace Bagalur → Yelahanka Old Town (ARSP-YHK),289OT-ARS,BMTC,ARSP-YHK,3,6925
Agara Junction → Agara Junction (AGR-AGR),HSR FDR-1,BMTC,"Via Mangammanapalya, Parangipalya, MC Donald",3,12085
Agara Junction → Agara Junction (AGR-AGR),HSR FDR-1A,BMTC,"Via Parangipalya, Mangammanapalya, MC Donald",3,12084
Agara → KR Market (Kalasipalya) (AGR-KMT),212,BMTC,"Via Banashankari, Thataguni, Konanakunte",3,3351
Agara → Kempegowda Bus Station (AGR-KBS),212-D,BMTC,"Via Thalagattapura, KR Market, Banashankari",3,3389
Agrahara Layout → KR Market (ALO-KMT),291-JA,BMTC,"Via Arebic College, Coles Park, Nagavara, RK Hegde Nagara",3,7053
Agrahara Layout → Kempegowda Bus Station (AGLO-KBS),280-A,BMTC,"Via Kempegowda Bus Station, Maruthi Nagara, Mekhri Circle",3,2291
Agrahara Layout → Shivajinagara Bus Station (AGLO-SBS),290-T,BMTC,"Via Coles Park, Vidhana Soudha Karnataka High Court, Nagawara Junction",3,2294
Agrahara Layout → Shivajinagara Bus Station (ALO-SBS),290-F,BMTC,"Via Nagavara, Arebic College, RK Hegde Nagara",3,7057
Ajmeer Apartment Neeladri Road → Anekal (ELC A-ANK),600CA,BMTC,ELC A-ANK,3,13225
Allalasandra → KR Market (ALS-KMT),284-E,BMTC,"Via Hebbala, Kempegowda Bus Station, NES Office",3,6881
Allalasandra → Kempegowda Bus Station (ALS-KBS),284-E,BMTC,"Via Hebbala, Kempegowda Bus Station, NES Office",3,6884
Allalasandra → Puttenahalli (ALS-PTH),ALS-PTH,BMTC,Via NES Office,3,6888
Allammanapalya → KR Market (Kalasipalya) (AMP-KMT),227-L,BMTC,Via Kengeri Bus Station,3,2441
Alphine Apartment → Shivajinagara Bus Station (ALP-SBS),ALP-SBS,BMTC,Via Hebbala,3,13815
Aluru BDA 2nd Stage → Dasanapura (ALRB2-DSP),255-AE,BMTC,"Via Yeshawanthapura Bus Station, Jalahalli Cross, Makali",3,11513
Aluru BDA 2nd Stage → Kempegowda Bus Station (ALRB2-KBS),255-AE,BMTC,"Via Yeshawanthapura Bus Station, Jalahalli Cross, Makali",3,7610
Aluru → KR Market (ALRU-KMT),257,BMTC,"Via Yeshawanthapura Bus Station, Madanayakanahalli, 8th Mile Dasarahalli",3,4842
Alurupalya → Dasanapura (ALRPL-DSPR),257-E,BMTC,"Via Madanayakanahalli, 8th Mile Dasarahalli, Yeshawanthapura Bus Station",3,6136
Amarajyothi Badavane → Depot-10 Gate (AJB-D10G),D10G-AJB,BMTC,Via Nagawara Junction,3,13072
Amarajyothi Badavane → KR Market (AJB-KMT),415-E,BMTC,"Via Thanisandra, Nagawara Junction, Hebbala, Kempegowda Bus Station, Mekhri Circle",3,6160
Amarajyothi Badavane → Kalyananagara Bus Stand (AJB-KLN),KLN-AJB,BMTC,Via Nagawara Junction,3,13272
Amarajyothi Badavane → Kempegowda Bus Station (AJB-KBS),415-H,BMTC,"Via Hebbala Bridge, Mekhri Circle, Thanisandra, Nagawara Junction",3,7108
Amarajyothi Badavane → Kempegowda Bus Station (AJB-MNP-VSD-KBS),415-H,BMTC,"Via Hebbala Bridge, Mekhri Circle, Thanisandra, Nagawara Junction",3,13074
Amarajyothi Badavane → Kempegowda Bus Station (AJB-VSD-KBS),415-H,BMTC,"Via Hebbala Bridge, Mekhri Circle, Thanisandra, Nagawara Junction",3,13068
Ambedkar Institute of Technology → Deepanjalinagara (AIT-DPJN),NBVB-DPJN,BMTC,"Via Chandra Layout Circle, Nagarabhavi Circle",3,10212
Ambedkar Institute of Technology → Kempegowda Bus Station (AIT-KBS),238-U,BMTC,Via Nagarabhavi Circle,3,10719
Ambedkar Institute of Technology → Shivajinagara Bus Station (AIT-SBS),63,BMTC,"Via Navarang Theatre, Vijayanagara, Shivananda Store",3,10113
Ambedkar Institute of Technology → Yeshawanthapura Bus Station (AIT-YTTMC),401-KB,BMTC,AIT-YTTMC,3,13255
Ambedkar Medical College Shampura → KR Market (AMCS-KMT),291-E,BMTC,"Via KR Circle, Periyar Nagara Circle",3,8060
Amruthanagara Hebbala → Kengeri Bus Station (AMRNH-KGR),502-DA,BMTC,"Via Hebbala Bridge, Goraguntepalya, Kottigepalya",3,13064
Amruthanagara Hebbala → Yeshawanthapura Bus Station (AMNRH-YTTMC),502-DA,BMTC,"Via Hebbala Bridge, Goraguntepalya, Kottigepalya",3,13066
Amruthanagara → KR Market (Kalasipalya) (AMRN-KMT),215,BMTC,"Via Banashankari, Anjanapura",3,3230
Anagalipura → Byrathi Bande (AGP-BYB),295-B,BMTC,"Via Kothanuru, Lingarajapura Bridge, Coles Park",3,10511
Anagalipura → Depot-48 Gate (AGP-D48G),294-D,BMTC,"Via Dodda Gubbi, KR Circle, Cunningham Road, Lingarajapura Bridge, Byrathi",3,9017
Anagalipura → KR Market (AGP-KMT),294-D,BMTC,"Via Dodda Gubbi, KR Circle, Cunningham Road, Lingarajapura Bridge, Byrathi",3,10070
Anagalipura → Kempegowda Bus Station (AGP-KBS),295-B,BMTC,"Via Kothanuru, Lingarajapura Bridge, Coles Park",3,9012
Anagalipura → Shivajinagara Bus Station (AGP-SBS),294-D,BMTC,"Via Dodda Gubbi, KR Circle, Cunningham Road, Lingarajapura Bridge, Byrathi",3,10072
Anchepalya → Hesaraghatta (ACP-HGV),502-K,BMTC,"Via Mallathahalli Cross, Jalahalli Cross, Peenya 2nd Stage, Soladevanahalli Police Station, Sunkadakatte",3,7535
Anchepalya → Yelahanka Old Town (ANP-YHK),401-K,BMTC,"Via Moodalapalya, Rajajinagara 1st Block, Vijayanagara, Nagarabhavi Circle",3,12037
Anchipura Colony → KR Market (Kalasipalya) (ACPC-KMT),226-S,BMTC,Via Kadumane Hotel,3,2271
Anchipura Colony → KR Market (Kalasipalya) (ANCPC-KMT),211-R,BMTC,"Via Banashankari, Kodiyala, Marnami Doddy, Kaggalipura",3,3353
Andhrahalli → Banashankari Bus Station (ADH-BSK),410-AB,BMTC,"Via Peenya 2nd stage, Vijayanagara Garage",3,7322
Andhrahalli → Jayanagara Bus Station (ADH-JBS),410-AB,BMTC,"Via Peenya 2nd stage, Vijayanagara Garage",3,11540
Anekal → Attibele Bus Stand (ANK-ATB),399-F,BMTC,"Via Haldenahalli, Attibele, Besthamanahalli, Gunjuru, Sarjapura, Hope Farm, Dommasandra",3,9639
Anekal → Banashankari Bus Station (ANK-BSK),600-CA,BMTC,"Via Marasur Gate, Chikka Hagade Gate, Chandapura",3,4936
Anekal → Bannerughatta Circle (ANK-BGTC),365-Z,BMTC,"Via Kumbarahalli, Jigala",3,11881
Anekal → Chandapura (ANK-CPR),356-Z,BMTC,"Via Karpura Gate, Iggluru, Kavala Hosahalli",3,9964
Anekal → Chikka Thirupathi (ANK-CTP),399-C,BMTC,"Via Mugaluru, Attibele Bus Stand, Sarjapura Circle",3,9971
Anekal → Chinnaiahnapalya (ANK-CNP),366-Z,BMTC,"Via Nimhans Hospital, Bannerughatta Circle",3,9590
Anekal → Depot-27 Gate (ANK-D27),365-P,BMTC,"Via Bannerughatta Circle, Jigani APC Circle",3,6969
Anekal → Depot-34 Gate (ANK-D34),365-P,BMTC,"Via Bannerughatta Circle, Jigani APC Circle",3,8173
Anekal → Depot-38 Gate (ANK-D-38),356-Z-ANK,BMTC,ANK-D-38,3,5514
Anekal → Depot-38 Gate (ANK-D38G),356,BMTC,"Via Electronic City, Madivala, Shanthinagara Bus Station",3,9576
Anekal → Depot-38 Gate (ANK-D38G),D38G-HLG-ANK,BMTC,"Via Chandapura, Heelalige, Karpura Gate",3,12195
Anekal → Depot-38 Gate (ANKL-D38G),356-Z,BMTC,"Via Karpura Gate, Iggluru, Kavala Hosahalli",3,9651
Anekal → Depot-42 Gate  Arrival (ANK-D42G),399-F,BMTC,"Via Haldenahalli, Attibele, Besthamanahalli, Gunjuru, Sarjapura, Hope Farm, Dommasandra",3,10869
Anekal → Dommasandra (ANK-DMS),399-D,BMTC,"Via Kammasandra Gate, Ramasagara",3,13936
Anekal → Hosakote Bus Stand (Old) (ANK-HSK),399-F,BMTC,"Via Haldenahalli, Attibele, Besthamanahalli, Gunjuru, Sarjapura, Hope Farm, Dommasandra",3,6895
Anekal → Hosakote K E B Circle (ANK-HSKKEB),328-HD,BMTC,"Via Bellikere, Koraluru, Karpura Gate, Sarjapura, Indlubele, Poojena Agrahara",3,9660
Anekal → KR Market (Kalasipalya) (ANK-KMT),361-C,BMTC,Via Chandapura KEB,3,5526
Anekal → KR Market (Kalasipalya) (ANK-KMT),366-Z,BMTC,"Via Nimhans Hospital, Bannerughatta Circle",3,4053
Anekal → KR Market (Kalasipalya) (ANKL-KMT),361-C,BMTC,Via Chandapura KEB,3,1683
Anekal → Kempegowda Bus Station (ANK-KBS),356-M,BMTC,"Via Lalbagh Main Gate, Madivala, Chandapura KEB",3,1713
Anekal → Kempegowda Bus Station (ANKL-KBS),365-P,BMTC,"Via Bannerughatta Circle, Jigani APC Circle",3,1801
Anekal → Kempegowda Bus Station (ANKL-KBS),V-356M,BMTC,"Via Lalbagh Main Gate, Chandapura",3,3894
Anekal → Kuguru (ANK-KGR),3F-5,BMTC,"Via Attibele Bus Stand, Karpura Gate, Billapura",3,12413
Anekal → Menashiganahalli (ANK-MSH),356-Z,BMTC,"Via Karpura Gate, Iggluru, Kavala Hosahalli",3,12424
Anekal → Sarjapura (ANK-SJP),3F-5,BMTC,"Via Attibele Bus Stand, Karpura Gate, Billapura",3,9983
Anjanamurthy → KR Market (AJM-KMT),AJM-KMT,BMTC,Via RT Nagara Police Station,3,13817
Anjanapura 10 Block → Electronic City (AJP10B-ELEC),378-E,BMTC,"Via Wipro Gate Shikaripalya Cross, Gottigere, Jalli Machine, Jambu Savari Dinne, Konanakunte Cross",3,8194
Anjanapura 10th Block → Jayanagara Metro Station Arrival (10BAJP-JNRMS),215-CA,BMTC,10BAJP-JNRMS,3,8153
Anjanapura 10th Block → KR Market (Kalasipalya) (AJP10B-KMT),367-B,BMTC,"Via Nimhans Hospital, Gottigere",3,4079
Anjanapura 10th Block → KR Market (Kalasipalya) (D44-KMT),215,BMTC,"Via Banashankari, Anjanapura",3,3273
Anjanapura 10th Block → KR Market (Kalasipalya) (D44G-KMT),215,BMTC,"Via Banashankari, Anjanapura",3,8121
Anjanapura 10th Block → Kempegowda Bus Station (D44G-KBS),215,BMTC,"Via Banashankari, Anjanapura",3,8119
Anjanapura 10th Block → Sanjay Gandhi Hospital (AJP10-SGH),215-ANJ10,BMTC,AJP10-SGH,3,3363
Anjanapura 10th Block → Tulasipura (ANP10-TLSP),D44-TLSP,BMTC,Via nan,3,8340
Anjanapura 2nd Block → KR Market (Kalasipalya) (ANP2-KMT),215-BC,BMTC,"Via Konanakunte Cross, Glass Factory, Banashankari",3,4204
Anjanapura 2nd Block → KR Market (Kalasipalya) (ANP2-KMT),215-KA,BMTC,"Via Avalahalli, Banashankari, Anjanapura",3,4202
Anjanapura → Banashankari Bus Station (ANP-BSK),MF-215BB,BMTC,"Via Konanakunte Cross, Jaraganahalli Cross",3,12508
Anjanapura → Depot-34 Gate (ANP-D34G),D34G-ANP,BMTC,"Via Jambu Savari Dinne, Avalahalli",3,8242
Anjanapura → KR Market (Kalasipalya) (ANP-KMT),215-K,BMTC,"Via Banashankari, Konanakunte Cross, South End Circle",3,3275
