stop_name,stop_id,stop_lat,stop_lon
Sarala Birla Academy,24234,12.81159,77.58449
Saraswathi Nagara,21597,12.9738,77.53041
Saraswathi Nagara,28163,12.9736,77.53031
Saraswathipuram,28165,13.00911,77.53816
Saraswathipuram,34474,13.00915,77.53824
Sarathi Nagara,28166,12.87387,77.57322
Sarathi Nagara,35344,12.87397,77.57312
Sarayipalya,22461,13.04746,77.62858
Sarayipalya,28167,13.04745,77.62868
Sarjapura,22462,12.86125,77.78568
Sarjapura,23907,12.86136,77.7856
Sarjapura Circle,22391,12.86102,77.78352
Sarjapura Circle,22392,12.86089,77.78331
Sarjapura Circle,23570,12.86073,77.78363
Sarjapura Ring Road Junction,20888,12.92203,77.66825
Sarjapura Ring Road Junction,20889,12.92113,77.66604
Sarjapura Road Ibbaluru Junction,30401,12.9204,77.66585
Sarjapura Road Ibbaluru Junction,38204,12.92043,77.66518
Sarjapura Wipro Campus,28169,12.89886,77.71369
Sarjapura Wipro Campus,34475,12.89903,77.71354
Sarvajna College/Vijayanagara,28170,12.97572,77.5391
Sasuveghatta,28172,13.09251,77.47537
Sasuveghatta,34476,13.09275,77.47534
Sasuveghatta Cross,28174,13.0847,77.47534
Sasuveghatta Cross,34477,13.08473,77.47535
Sathanur,28176,13.13186,77.64742
Sathanur,34478,13.13185,77.64747
Sathanur Colony,28178,13.12786,77.64662
Sathanur Colony,34479,13.12788,77.64651
Sathya Nagara,28180,13.00047,77.63991
Sathya Nagara,34480,13.00038,77.63984
Sathya Sai Baba Mandir,22464,13.00118,77.75753
Sathya Sai Baba Mandir,22465,13.00124,77.75765
Sathya Sai Hospital,21160,12.9827,77.72811
Sathya Sai Hospital,21161,12.9823,77.72773
Savandarbar Ashrama,21665,12.90959,77.49224
Savandarbar Ashrama,22466,12.90962,77.49228
Savandurga,28181,12.91561,77.29748
Savandurga Cross,34481,12.90483,77.27795
Savukanahalli,28185,13.2674,77.69459
Savukanahalli,34482,13.26741,77.69453
Savukanahalli Gate,28187,13.25813,77.69537
Savukanahalli Gate,34483,13.25801,77.6956
School Manchanayakanahalli,21162,12.83736,77.40939
School Manchanayakanahalli,21163,12.83731,77.40944
Seebekatte,28195,12.72904,77.38181
Seebekatte,34487,12.72898,77.38179
Seegehalli,28202,12.97325,77.44906
Seegehalli,34490,12.81843,77.45249
Seegehalli,34491,12.81848,77.45245
Seegehalli,34492,13.01426,77.71697
Seegehalli Cross,28204,12.82539,77.44931
Seegehalli Cross,34494,12.82541,77.44934
Seegehalli Gate,21598,12.98408,77.44376
Seegehalli Gate,21599,12.98401,77.44389
Seegehalli Gate  Kadugodi,28205,13.01331,77.76101
Seegehalli Gate  Kadugodi,28206,13.0131,77.76109
Seegehalli Junction,28208,13.01628,77.71696
Seegehalli Junction,34495,13.01627,77.71693
Seeresandra,28210,13.19185,77.48337
Seeresandra,34496,13.19185,77.48341
Seetanayakanahalli Malur Road,36226,12.9537,77.91509
Seetanayakanahalli Malur Road,36227,12.95368,77.91541
Seetha Circle,22471,12.93705,77.54882
Seetha Circle,22472,12.93779,77.54968
Seethakempanahalli,28212,13.17125,77.5186
Seethakempanahalli,34497,13.17132,77.51868
Seethakempanahalli Cross,28214,13.16883,77.52107
Seethakempanahalli Cross,34498,13.16886,77.521
Seethakempanahalli Gate,28216,13.17371,77.52543
Seethakempanahalli Gate,34499,13.17367,77.52545
Seethanayakanahalli,28218,12.76923,77.65995
Seethanayakanahalli,34500,12.76926,77.65996
Seetharam Bhattarapalya,28220,13.06111,77.33447
Seetharam Bhattarapalya,34501,13.06088,77.33455
Seetharampalya,34502,12.98042,77.72192
Seetharampalya Metro Station,37988,12.98077,77.70891
Sevanagara Varadenahalli,28227,12.97005,77.31382
Sevanagara Varadenahalli,34504,12.97006,77.31387
Seventh Day School (Coles Park),36720,12.9956,77.61107
Shahi Exports PVT Ltd Unit-7,36264,12.91926,77.6679
Shakthi Garden,36463,12.96897,77.51884
Shamarajapura,28238,13.10419,77.54663
Shamarajapura,34507,13.10432,77.54657
Shamarajapura Cross,38709,13.1062,77.54673
Shamarajapura Cross,38710,13.10625,77.54676
Shampura,28241,13.02636,77.61427
Shampura,34509,13.02641,77.61427
Shaneshwara Temple Hoskerehalli,28245,12.92611,77.53131
Shaneshwara Temple Hoskerehalli,34511,12.92619,77.53138
Shaneshwaraswamy Temple Sheshagirihalli,38784,12.84289,77.42114
Shanimahathma Temple,22473,12.83704,77.51601
Shanimahathma Temple,22474,12.83723,77.51612
Shanimahathma Temple,28251,12.78633,77.39983
Shanimahathma Temple,34512,12.89315,77.54314
Shanimahathma Temple,34513,12.8934,77.54338
Shanimahathma Temple,34515,12.78641,77.39989
Shanimahathma Temple,35067,12.94948,77.77042
Shanimahathma Temple,35136,12.7162,77.69523
Shanimahathma Temple,35294,12.71611,77.69522
Shanimahathma Temple,38664,13.3043,77.7888
Shankanipura Gate,28253,13.10695,77.7762
Shankanipura Gate,34516,13.1069,77.77621
Shankar Mutt,21164,12.99897,77.5417
Shankar Mutt,21165,12.99915,77.54161
Shankar Mutt,35808,12.99939,77.54103
Shankara Nagara,28257,13.01593,77.54381
Shankara Nagara,34518,13.01597,77.54378
Shankarnagh Bus Stand,28258,12.99472,77.52677
Shankarnagh Circle,28260,12.93657,77.55949
Shankarnagh Circle,34519,12.93651,77.55954
Shanmukha Temple,28262,12.91149,77.52746
Shanmukha Temple,34520,12.91153,77.5275
Shanthi Talkies,28268,12.93686,77.57724
Shanthi Talkies,34523,12.93669,77.57899
Shanthinagara,28270,13.02626,77.47343
Shanthinagara,34524,13.02631,77.47336
Shanthinagara Bus Station,21166,12.95449,77.59258
Shanthinagara Bus Station,21167,12.95483,77.59235
Shanthinagara KH Road,23640,12.95501,77.59193
Shanthinagara KH Road,23667,12.95505,77.59178
Shanthinagara Manchanabele,28271,12.87955,77.34721
Shanthinagara Manchanabele,28272,12.87953,77.34729
Shanthinagara Nelamangala,27424,13.07879,77.36703
Shanthinagara Nelamangala,34140,13.07899,77.36737
Shanthinagara Ravuttanahalli,28274,13.01993,77.42192
Shanthinagara Ravuttanahalli,34525,13.01987,77.42182
Shanthiniketan Layout,23581,12.88283,77.60348
Shanthiniketan Layout,24236,12.88282,77.60342
Shanubhoganahalli,21600,12.96136,77.32491
Shanubhoganahalli,21601,12.96156,77.32511
Shanubhoganahalli,28281,13.17915,77.53126
Shanubhoganahalli,34528,13.17917,77.5313
Shanubhoganahalli 1st Cross,23742,12.828,77.56254
Shanubhoganahalli 1st Cross,23856,12.82804,77.56248
Shanubhoganahalli Bannerughatta,23743,12.8267,77.56146
Shanubhoganahalli Bannerughatta,23855,12.82672,77.56141
Shanubhoganahalli Colony,28283,13.17391,77.53005
Shanubhoganahalli Colony,34529,13.17388,77.53001
Shanubhoganahalli Gate (Dibbur Cross),24985,13.17263,77.53016
Shanubhoganahalli Gate (Dibbur Cross),32484,13.17267,77.53019
Sharada Colony,24060,12.99239,77.53358
Sharada Colony,24065,12.9922,77.53454
Sharadamba Nagara,28285,13.04588,77.5413
Sharadamba Nagara,34530,13.04588,77.54125
Sharadanagara,22586,12.89261,77.55948
Sharadanagara,22587,12.8925,77.5595
Sharadha Colony,33289,12.99184,77.53436
Sharavathi Hotel,22475,13.09798,77.58442
Sharavathi Hotel,22476,13.09789,77.58435
Shastri Bakery,22477,12.92369,77.57363
Shastri Bakery,22478,12.92345,77.57354
Shastri Palya,28289,13.17157,77.43596
Shastri Palya,34532,13.17158,77.43601
Sheganayakanahalli,35330,12.9263,77.80927
Sheganayakanahalli Cross,24324,12.92269,77.80882
Sheganayakanahalli Cross,24326,12.9227,77.80893
Shell Company,28292,13.15411,77.7004
Shell Company,34533,13.15427,77.70052
Shell Petrol Bunk,22479,13.01756,77.7621
Shell Petrol Bunk,22480,13.01774,77.76225
Sheshadri Nagara,28294,13.06396,77.48857
Sheshadripuram College,22481,13.09951,77.58834
Sheshadripuram College,22482,13.09943,77.58817
Sheshadripuram College,28297,13.10041,77.58864
Sheshadripuram College,34534,13.10022,77.58866
Sheshagirihalli,21168,12.84352,77.4215
Sheshagirihalli,21169,12.84359,77.42102
Sheshagiripura,28299,12.88088,77.41809
Sheshagiripura,34535,12.88086,77.418
Shettarahalli Cross,28303,13.26615,77.67635
Shettarahalli Cross,34537,13.26652,77.67638
Shettigere,28306,13.17921,77.66688
Shettigere,34539,13.1798,77.66724
Shettigowdanahalli,28307,12.81144,77.36828
Shettigowdanahalli,28308,12.81139,77.3683
Shettyhalli,28311,13.0649,77.51718
Shettyhalli,34540,13.06482,77.51723
Shettyhalli Anekal Road,28313,12.75312,77.7309
Shettyhalli Anekal Road,34541,12.75303,77.73077
Shettyhalli Cross,22483,13.05033,77.52578
Shettyhalli Cross,22484,13.05011,77.52546
Shettyhalli Cross,34542,13.05034,77.52554
Shettyhalli Cross,38804,13.05019,77.52561
Shikaripalya,28319,12.83388,77.65573
Shikaripalya,34544,12.83386,77.65582
Shilpa Bakery Horamavu Road,28321,13.03774,77.65061
Shilpa Bakery Horamavu Road,34545,13.03778,77.6506
Shine Bakery,28323,12.95074,77.62375
Shine Bakery,34546,12.95067,77.6239
Shiradi Sai Temple Arakere,28325,12.88304,77.61011
Shiradi Sai Temple Arakere,34547,12.88302,77.61003
Shirdi Sai Nagara,24098,13.06675,77.63818
Shirdi Sai Nagara,35158,13.0668,77.63797
Shirke KHB Quarters,22664,12.93175,77.48772
Shirke KHB Quarters,22665,12.93133,77.48751
Shiva Ittige Factory,28328,12.92781,77.84935
Shiva Ittige Factory,34548,12.92749,77.85018
Shivagiri Choultry Vijyapura,28330,13.29465,77.79109
Shivagiri Choultry Vijyapura,34549,13.29467,77.79103
Shivaji Hotel,22733,12.94311,77.47649
Shivaji Hotel,28331,12.943,77.4766
Shivajinagara Bus Station,21172,12.98396,77.60323
Shivajinagara Bus Station,21173,12.98328,77.60304
Shivajinagara Bus Station,35779,12.98328,77.60341
Shivakote,34550,13.13393,77.51471
Shivakote,34551,13.13401,77.51473
Shivakote,34552,13.13403,77.51476
Shivakote,34553,13.13333,77.51478
Shivakote Cross,28339,13.13555,77.51331
Shivakote Cross,34554,13.13552,77.51326
Shivanaapura,28341,13.15347,77.90396
Shivanaapura,34555,13.15346,77.9039
Shivanahalli,28344,12.92844,77.49061
Shivanahalli,34556,12.72333,77.57245
Shivanahalli,34557,12.9283,77.4906
Shivanahalli,35324,12.72333,77.57256
Shivanahalli 4th Main,28346,12.98895,77.54683
Shivanahalli 4th Main,34558,12.98886,77.54683
Shivananda Store,21174,12.98666,77.57938
Shivananda Store,21175,12.98735,77.58022
Shivananda Store,23354,12.98755,77.58039
Shivananda Store,24239,12.98724,77.57873
Shivanapura,34559,13.04926,77.42152
Shivanapura,34560,12.87417,77.85416
Shivanapura,34561,12.874,77.85405
Shivanapura Colony,34562,13.04503,77.42277
Shivanapura Colony 1,34838,13.04501,77.4227
Shivanapura Colony Cross,34567,13.04343,77.4292
Shivanapura Colony Cross,34568,13.04347,77.42915
Shivanapura Cross,28362,13.04139,77.42228
Shivanapura Cross,34564,13.17693,77.88456
Shivanapura Cross,34565,13.17689,77.88459
Shivanapura Cross 1,34840,13.04142,77.42223
Shivanapura Cross Hosakote,34566,13.15328,77.8966
Shivanapura Cross Hosakote,34839,13.15326,77.89668
Shivanasandra,34569,13.02359,77.16401
Shivaparvathi Kalyanamantapa,28366,13.00861,77.65134
Shivaparvathi Kalyanamantapa,34570,13.00861,77.65142
Shobha Apartment,28370,12.73955,77.73454
Shobha Apartment,34572,12.73965,77.73453
Shobha Hills View Apartment,28374,12.86641,77.52019
Shobha Hills View Apartment,34574,12.86634,77.52045
Shobha Tulip JP Nagara,28376,12.89805,77.58591
Shobha Tulip JP Nagara,34575,12.89801,77.58589
Shoolay Circle Brigade Road,22486,12.96659,77.60666
Shoolay Circle Brigade Road,23797,12.96584,77.60687
Shopping Complex HMT,22701,13.04964,77.53772
Shopping Complex HMT,22710,13.04962,77.53739
Shreepatihalli,34696,12.96259,77.16781
Shri Rama Temple,28382,12.744,77.52307
Shri Rama Temple,34576,12.744,77.52313
Shri Vidhyanagara,22675,12.93431,77.53985
Shri Vishnu Garden,28383,12.94548,77.45743
Shri Vishnu Garden,34577,12.94573,77.45761
Shrinivagilu Bus Stand,26644,12.93759,77.63319
Shrinivagilu Ejipura,22509,12.93842,77.63291
Shrinivagilu Ejipura,22510,12.93859,77.63265
